subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-26,sub-26_task-sleep_run-1_timeseries,0,15,Wake,0.43950959342165363,0.2789747257181821
sub-26,sub-26_task-sleep_run-1_timeseries,1,30,Wake,0.513573701842546,0.3862404955767385
sub-26,sub-26_task-sleep_run-1_timeseries,2,45,Wake,0.4841051687006461,0.37120982025837107
sub-26,sub-26_task-sleep_run-1_timeseries,3,60,Wake,0.4985443886097152,0.426763758665914
sub-26,sub-26_task-sleep_run-1_timeseries,4,75,Wake,0.5322747068676716,0.406940092596441
sub-26,sub-26_task-sleep_run-1_timeseries,5,90,Wake,0.48438137114142144,0.3586499611640678
sub-26,sub-26_task-sleep_run-1_timeseries,6,105,Wake,0.47511306532663317,0.3232403126789509
sub-26,sub-26_task-sleep_run-1_timeseries,7,120,Wake,0.4903056951423786,0.35931873366355155
sub-26,sub-26_task-sleep_run-1_timeseries,8,135,Wake,0.5276381909547738,0.33143459427807637
sub-26,sub-26_task-sleep_run-1_timeseries,9,150,Wake,0.5046038525963149,0.3307946802711935
sub-26,sub-26_task-sleep_run-1_timeseries,10,165,Wake,0.5211541038525963,0.35478904829964575
sub-26,sub-26_task-sleep_run-1_timeseries,11,180,Wake,0.5337018425460637,0.4045769901732912
sub-26,sub-26_task-sleep_run-1_timeseries,12,195,Wake,0.524038525963149,0.39844408059978925
sub-26,sub-26_task-sleep_run-1_timeseries,13,210,Wake,0.5168886097152429,0.3353532532436285
sub-26,sub-26_task-sleep_run-1_timeseries,14,225,Wake,0.5201976549413734,0.3967030791059644
sub-26,sub-26_task-sleep_run-1_timeseries,15,240,Wake,0.5323659966499162,0.37712003746934225
sub-26,sub-26_task-sleep_run-1_timeseries,16,255,Wake,0.5390619765494138,0.38699701069739645
sub-26,sub-26_task-sleep_run-1_timeseries,17,270,Wake,0.5269346733668342,0.39086075465520853
sub-26,sub-26_task-sleep_run-1_timeseries,18,285,Wake,0.5264405360134002,0.40438097236486625
sub-26,sub-26_task-sleep_run-1_timeseries,19,300,Wake,0.5105887772194305,0.37879028785292934
sub-26,sub-26_task-sleep_run-1_timeseries,20,315,Wake,0.4989396984924623,0.4259207366369402
sub-26,sub-26_task-sleep_run-1_timeseries,21,330,Wake,0.5195619765494137,0.46823684477822813
sub-26,sub-26_task-sleep_run-1_timeseries,22,345,Wake,0.5029715242881072,0.46871580731997003
sub-26,sub-26_task-sleep_run-1_timeseries,23,360,Wake,0.5186884422110551,0.37636970108338713
sub-26,sub-26_task-sleep_run-1_timeseries,24,375,Wake,0.5326130653266331,0.3343247466267167
sub-26,sub-26_task-sleep_run-1_timeseries,25,390,Wake,0.5412814070351758,0.3427111514912171
sub-26,sub-26_task-sleep_run-1_timeseries,26,405,Wake,0.5198601340033501,0.371684452003385
