subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-12,sub-12_task-sleep_run-1_timeseries,0,15,Wake,0.5047487437185929,0.3696149308518202
sub-12,sub-12_task-sleep_run-1_timeseries,1,30,Wake,0.5037814070351759,0.34785132688158704
sub-12,sub-12_task-sleep_run-1_timeseries,2,45,Wake,0.5034247427614261,0.3620666253840655
sub-12,sub-12_task-sleep_run-1_timeseries,3,60,Wake,0.48999329983249584,0.3317265270699641
sub-12,sub-12_task-sleep_run-1_timeseries,4,75,Wake,0.5296675041876047,0.3468328738782795
sub-12,sub-12_task-sleep_run-1_timeseries,5,90,Wake,0.49492881072026795,0.3767015595397643
sub-12,sub-12_task-sleep_run-1_timeseries,6,105,Wake,0.518965661641541,0.3290772691131462
sub-12,sub-12_task-sleep_run-1_timeseries,7,120,Wake,0.5061658291457286,0.38095257543621475
sub-12,sub-12_task-sleep_run-1_timeseries,8,135,Wake,0.4978509212730318,0.3946135322774947
sub-12,sub-12_task-sleep_run-1_timeseries,9,150,Wake,0.499428810720268,0.3529488450205743
sub-12,sub-12_task-sleep_run-1_timeseries,10,165,Wake,0.5093299832495812,0.3411909629730002
sub-12,sub-12_task-sleep_run-1_timeseries,11,180,Wake,0.46612419239052405,0.2723975096102199
sub-12,sub-12_task-sleep_run-1_timeseries,12,195,Wake,0.5014472361809045,0.31193223643087165
sub-12,sub-12_task-sleep_run-1_timeseries,13,210,Wake,0.5450125628140704,0.3507025269453973
sub-12,sub-12_task-sleep_run-1_timeseries,14,225,Wake,0.543894472361809,0.3707184577357361
sub-12,sub-12_task-sleep_run-1_timeseries,15,240,Wake,0.5281742043551089,0.4098389848716235
sub-12,sub-12_task-sleep_run-1_timeseries,17,270,N1,0.523676716917923,0.3837829445625099
sub-12,sub-12_task-sleep_run-1_timeseries,18,285,N1,0.5408333333333333,0.36015019323440756
sub-12,sub-12_task-sleep_run-1_timeseries,19,300,N1,0.5268132328308206,0.3867189595226894
sub-12,sub-12_task-sleep_run-1_timeseries,20,315,N1,0.5372236180904522,0.3799134171680642
sub-12,sub-12_task-sleep_run-1_timeseries,22,345,Wake,0.5410175879396985,0.38700508024120156
sub-12,sub-12_task-sleep_run-1_timeseries,23,360,Wake,0.5339597989949748,0.39548785906618134
