subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-26,sub-26_task-sleep_run-3_timeseries,0,15,N1,0.48932663316582914,0.3790212040329189
sub-26,sub-26_task-sleep_run-3_timeseries,1,30,N1,0.4856194065565925,0.4136120390244403
sub-26,sub-26_task-sleep_run-3_timeseries,2,45,N1,0.5007051926298157,0.38611144595345465
sub-26,sub-26_task-sleep_run-3_timeseries,4,75,Wake,0.5175837520938024,0.3836247267940158
sub-26,sub-26_task-sleep_run-3_timeseries,5,90,Wake,0.5011541038525963,0.3691158074796256
sub-26,sub-26_task-sleep_run-3_timeseries,6,105,Wake,0.4783972242163197,0.3471287816596566
sub-26,sub-26_task-sleep_run-3_timeseries,7,120,Wake,0.5264489112227805,0.41992491007958493
sub-26,sub-26_task-sleep_run-3_timeseries,11,180,Wake,0.5128308207705192,0.4430332493421929
sub-26,sub-26_task-sleep_run-3_timeseries,12,195,Wake,0.4899169657812873,0.37926201155241374
sub-26,sub-26_task-sleep_run-3_timeseries,13,210,Wake,0.4851264656616415,0.32903884771822944
sub-26,sub-26_task-sleep_run-3_timeseries,14,225,Wake,0.48862227805695135,0.39746062304064644
sub-26,sub-26_task-sleep_run-3_timeseries,15,240,Wake,0.49606951423785595,0.3646096702008663
sub-26,sub-26_task-sleep_run-3_timeseries,16,255,Wake,0.49949832495812396,0.37000481798196655
sub-26,sub-26_task-sleep_run-3_timeseries,17,270,Wake,0.5326172529313232,0.38494571700907965
sub-26,sub-26_task-sleep_run-3_timeseries,18,285,Wake,0.532109715242881,0.3940845900158348
sub-26,sub-26_task-sleep_run-3_timeseries,19,300,Wake,0.5325502512562814,0.39907158496059675
sub-26,sub-26_task-sleep_run-3_timeseries,20,315,N1,0.5157252931323283,0.3586693810369337
sub-26,sub-26_task-sleep_run-3_timeseries,21,330,N1,0.4840963149078727,0.317316928959384
sub-26,sub-26_task-sleep_run-3_timeseries,23,360,Wake,0.5126340033500837,0.3651805470896135
sub-26,sub-26_task-sleep_run-3_timeseries,24,375,Wake,0.4979036850921273,0.44418503595091685
sub-26,sub-26_task-sleep_run-3_timeseries,25,390,Wake,0.4639217516152189,0.34106024446764516
sub-26,sub-26_task-sleep_run-3_timeseries,26,405,Wake,0.49448624072744674,0.33015081536694874
