subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-29,sub-29_task-sleep_run-4_timeseries,0,15,Wake,0.4861759990428332,0.38946082781644925
sub-29,sub-29_task-sleep_run-4_timeseries,1,30,Wake,0.48659547738693465,0.42868581084908386
sub-29,sub-29_task-sleep_run-4_timeseries,2,45,Wake,0.4779763101220388,0.4424948530991625
sub-29,sub-29_task-sleep_run-4_timeseries,3,60,Wake,0.5058433835845896,0.36770866545330166
sub-29,sub-29_task-sleep_run-4_timeseries,4,75,Wake,0.49129672170375693,0.3354073097854111
sub-29,sub-29_task-sleep_run-4_timeseries,5,90,Wake,0.47259751136635564,0.29591783605363814
sub-29,sub-29_task-sleep_run-4_timeseries,6,105,Wake,0.4937110552763818,0.43882786903694293
sub-29,sub-29_task-sleep_run-4_timeseries,7,120,Wake,0.48983082077051926,0.37886004019580555
sub-29,sub-29_task-sleep_run-4_timeseries,8,135,Wake,0.49122864321608034,0.3287201992766415
sub-29,sub-29_task-sleep_run-4_timeseries,9,150,Wake,0.45197403685092125,0.264198231183348
sub-29,sub-29_task-sleep_run-4_timeseries,10,165,Wake,0.4893015075376885,0.37827600226620733
sub-29,sub-29_task-sleep_run-4_timeseries,11,180,Wake,0.5045561139028475,0.41273532242631683
sub-29,sub-29_task-sleep_run-4_timeseries,12,195,Wake,0.5199087102177555,0.4068802427709201
sub-29,sub-29_task-sleep_run-4_timeseries,13,210,Wake,0.5136599664991625,0.3990539397082772
sub-29,sub-29_task-sleep_run-4_timeseries,14,225,Wake,0.46582998324958125,0.3001135333968375
sub-29,sub-29_task-sleep_run-4_timeseries,15,240,Wake,0.47003350083752093,0.36240672155364106
sub-29,sub-29_task-sleep_run-4_timeseries,16,255,Wake,0.5028701842546063,0.35528536734663696
sub-29,sub-29_task-sleep_run-4_timeseries,17,270,Wake,0.5321398659966499,0.3485335443643185
sub-29,sub-29_task-sleep_run-4_timeseries,18,285,Wake,0.5213902847571189,0.3905333257400335
sub-29,sub-29_task-sleep_run-4_timeseries,19,300,Wake,0.532035175879397,0.42068255504447305
sub-29,sub-29_task-sleep_run-4_timeseries,20,315,Wake,0.47481012203876527,0.31744866694421797
sub-29,sub-29_task-sleep_run-4_timeseries,21,330,Wake,0.48668796362766203,0.32993200955027013
sub-29,sub-29_task-sleep_run-4_timeseries,22,345,Wake,0.487227686049294,0.3159481750073435
sub-29,sub-29_task-sleep_run-4_timeseries,23,360,Wake,0.453850203397942,0.28478632371012685
sub-29,sub-29_task-sleep_run-4_timeseries,24,375,Wake,0.47594466379516626,0.42905500561689114
sub-29,sub-29_task-sleep_run-4_timeseries,25,390,Wake,0.5108894472361809,0.44183608971048327
sub-29,sub-29_task-sleep_run-4_timeseries,26,405,Wake,0.5110778894472362,0.38845172282926554
