subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-18,sub-18_task-rest_run-1_timeseries,0,15,N1,0.5388149078726968,0.40886513399500646
sub-18,sub-18_task-rest_run-1_timeseries,1,30,N1,0.5415452261306534,0.36224061847046884
sub-18,sub-18_task-rest_run-1_timeseries,2,45,N1,0.5368718592964824,0.38185830902595985
sub-18,sub-18_task-rest_run-1_timeseries,3,60,N1,0.5257554438860971,0.392342381297936
sub-18,sub-18_task-rest_run-1_timeseries,4,75,N1,0.5137051926298156,0.3341649894303955
sub-18,sub-18_task-rest_run-1_timeseries,5,90,N1,0.518391959798995,0.34635356078861135
sub-18,sub-18_task-rest_run-1_timeseries,6,105,N1,0.524857621440536,0.3962950865591677
sub-18,sub-18_task-rest_run-1_timeseries,7,120,N1,0.5177051926298157,0.4108353154209926
sub-18,sub-18_task-rest_run-1_timeseries,8,135,N1,0.5325418760469012,0.4188007919614896
sub-18,sub-18_task-rest_run-1_timeseries,9,150,N1,0.5229773869346733,0.4644442552460302
sub-18,sub-18_task-rest_run-1_timeseries,10,165,N1,0.5100896147403685,0.3928642245208977
sub-18,sub-18_task-rest_run-1_timeseries,11,180,N1,0.448143216080402,0.291567309146721
sub-18,sub-18_task-rest_run-1_timeseries,12,195,N1,0.4809958123953099,0.32850732954641204
sub-18,sub-18_task-rest_run-1_timeseries,13,210,N1,0.508892797319933,0.3605692926049937
sub-18,sub-18_task-rest_run-1_timeseries,14,225,N1,0.4644698492462311,0.33431050116940286
sub-18,sub-18_task-rest_run-1_timeseries,15,240,N1,0.45737885857860733,0.3045402275911571
sub-18,sub-18_task-rest_run-1_timeseries,17,270,N2,0.47168222062694426,0.28576791289701675
