subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-13,sub-13_task-sleep_run-1_timeseries,1,30,Wake,0.5230142378559464,0.2926120797634112
sub-13,sub-13_task-sleep_run-1_timeseries,2,45,Wake,0.5235050251256281,0.3810323203356462
sub-13,sub-13_task-sleep_run-1_timeseries,5,90,Wake,0.5445393634840872,0.3776719078148666
sub-13,sub-13_task-sleep_run-1_timeseries,6,105,Wake,0.537680067001675,0.41368590096037966
sub-13,sub-13_task-sleep_run-1_timeseries,7,120,Wake,0.533680904522613,0.4010181501755701
sub-13,sub-13_task-sleep_run-1_timeseries,8,135,Wake,0.5271524288107202,0.40990031034735247
sub-13,sub-13_task-sleep_run-1_timeseries,9,150,Wake,0.5153149078726968,0.363538252181256
sub-13,sub-13_task-sleep_run-1_timeseries,10,165,Wake,0.5043500837520938,0.34567797402374634
sub-13,sub-13_task-sleep_run-1_timeseries,11,180,Wake,0.4799699688920795,0.36410174549313995
sub-13,sub-13_task-sleep_run-1_timeseries,12,195,Wake,0.43498863364441254,0.22431069453098854
sub-13,sub-13_task-sleep_run-1_timeseries,13,210,Wake,0.5020879396984925,0.3623052517288284
sub-13,sub-13_task-sleep_run-1_timeseries,14,225,Wake,0.5366247906197655,0.356681958700744
sub-13,sub-13_task-sleep_run-1_timeseries,15,240,Wake,0.5330820770519263,0.3553989639089287
sub-13,sub-13_task-sleep_run-1_timeseries,16,255,Wake,0.5263182579564489,0.37081527340906034
sub-13,sub-13_task-sleep_run-1_timeseries,17,270,Wake,0.5192303182579565,0.36791254167948034
sub-13,sub-13_task-sleep_run-1_timeseries,18,285,Wake,0.5087437185929647,0.37706308539554234
sub-13,sub-13_task-sleep_run-1_timeseries,19,300,Wake,0.4948040201005025,0.3471959590057516
sub-13,sub-13_task-sleep_run-1_timeseries,20,315,Wake,0.5109380234505863,0.3388585352988281
sub-13,sub-13_task-sleep_run-1_timeseries,21,330,Wake,0.5198492462311558,0.35110048268690747
sub-13,sub-13_task-sleep_run-1_timeseries,22,345,Wake,0.5016708542713568,0.3905202750322675
sub-13,sub-13_task-sleep_run-1_timeseries,23,360,Wake,0.49567623833452973,0.40111518888345454
sub-13,sub-13_task-sleep_run-1_timeseries,24,375,Wake,0.5052629815745394,0.4180327690071658
sub-13,sub-13_task-sleep_run-1_timeseries,25,390,Wake,0.5220142378559464,0.4117554853522778
sub-13,sub-13_task-sleep_run-1_timeseries,26,405,Wake,0.49599497487437183,0.4001314433938694
