subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-19,sub-19_task-rest_run-1_timeseries,1,30,Wake,0.5202638190954774,0.4668810764850631
sub-19,sub-19_task-rest_run-1_timeseries,2,45,Wake,0.5140410385259632,0.4496787898581001
sub-19,sub-19_task-rest_run-1_timeseries,3,60,Wake,0.5098182579564489,0.4104011136454757
sub-19,sub-19_task-rest_run-1_timeseries,6,105,N1,0.48489877961234745,0.2995220698434245
sub-19,sub-19_task-rest_run-1_timeseries,8,135,Wake,0.4850561139028476,0.32037400459614535
sub-19,sub-19_task-rest_run-1_timeseries,9,150,N1,0.5227554438860971,0.3118268185590531
sub-19,sub-19_task-rest_run-1_timeseries,11,180,Wake,0.5251901172529313,0.42887221575912343
sub-19,sub-19_task-rest_run-1_timeseries,12,195,Wake,0.5216892797319933,0.42444889992529694
sub-19,sub-19_task-rest_run-1_timeseries,14,225,N1,0.45633381191672645,0.2909285465601896
sub-19,sub-19_task-rest_run-1_timeseries,15,240,N1,0.4714254606365159,0.3316590965480929
sub-19,sub-19_task-rest_run-1_timeseries,16,255,N1,0.505896147403685,0.3535322979695922
sub-19,sub-19_task-rest_run-1_timeseries,17,270,N1,0.5264614740368508,0.4010440916547082
