subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-25,sub-25_task-sleep_run-6_timeseries,0,15,Wake,0.49264070351758793,0.2994194196940873
sub-25,sub-25_task-sleep_run-6_timeseries,1,30,Wake,0.4789431682220626,0.3467831950023118
sub-25,sub-25_task-sleep_run-6_timeseries,2,45,Wake,0.516788944723618,0.3778964051825358
sub-25,sub-25_task-sleep_run-6_timeseries,3,60,Wake,0.5304480737018425,0.38411764792315356
sub-25,sub-25_task-sleep_run-6_timeseries,4,75,Wake,0.5337353433835845,0.40224716073487715
sub-25,sub-25_task-sleep_run-6_timeseries,5,90,Wake,0.5351876046901173,0.38493337876570627
sub-25,sub-25_task-sleep_run-6_timeseries,6,105,Wake,0.5181616415410385,0.39377648886843375
sub-25,sub-25_task-sleep_run-6_timeseries,7,120,Wake,0.4930661641541038,0.39716589818037484
sub-25,sub-25_task-sleep_run-6_timeseries,8,135,Wake,0.5008827470686766,0.40512654939988535
sub-25,sub-25_task-sleep_run-6_timeseries,9,150,Wake,0.5149195979899497,0.41562318053320835
sub-25,sub-25_task-sleep_run-6_timeseries,10,165,Wake,0.5363735343383584,0.33641880482960707
sub-25,sub-25_task-sleep_run-6_timeseries,13,210,Wake,0.48779229480737013,0.33835891449745625
sub-25,sub-25_task-sleep_run-6_timeseries,16,255,Wake,0.4803768844221106,0.4541696596873414
sub-25,sub-25_task-sleep_run-6_timeseries,17,270,Wake,0.5044581239530989,0.3318848188159602
sub-25,sub-25_task-sleep_run-6_timeseries,18,285,Wake,0.5141013400335007,0.35207215490798366
sub-25,sub-25_task-sleep_run-6_timeseries,19,300,Wake,0.5344681742043551,0.39817305829287564
sub-25,sub-25_task-sleep_run-6_timeseries,20,315,Wake,0.5412353433835845,0.37943017476827984
sub-25,sub-25_task-sleep_run-6_timeseries,25,390,Wake,0.5258040201005025,0.41649493230740064
sub-25,sub-25_task-sleep_run-6_timeseries,26,405,Wake,0.5389405360134003,0.3910995604011411
