subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-27,sub-27_task-sleep_run-7_timeseries,0,15,Wake,0.42406149796602055,0.27309922752343174
sub-27,sub-27_task-sleep_run-7_timeseries,1,30,Wake,0.49056999282124913,0.3518632185020756
sub-27,sub-27_task-sleep_run-7_timeseries,3,60,N1,0.44171667863125147,0.2883097548453526
sub-27,sub-27_task-sleep_run-7_timeseries,5,90,Wake,0.48298612108159833,0.3353626966447104
sub-27,sub-27_task-sleep_run-7_timeseries,6,105,N1,0.4709113424264177,0.29460018925527315
sub-27,sub-27_task-sleep_run-7_timeseries,7,120,N1,0.44410385259631485,0.3149570787572953
sub-27,sub-27_task-sleep_run-7_timeseries,10,165,N2,0.42563699449629105,0.2824620515343418
sub-27,sub-27_task-sleep_run-7_timeseries,11,180,N2,0.38522810480976305,0.2473343097735285
sub-27,sub-27_task-sleep_run-7_timeseries,12,195,N2,0.46537808088059335,0.36044277854427004
sub-27,sub-27_task-sleep_run-7_timeseries,13,210,N2,0.45620206189678547,0.31144967747908725
sub-27,sub-27_task-sleep_run-7_timeseries,14,225,Wake,0.46892234984446035,0.32203536372686087
sub-27,sub-27_task-sleep_run-7_timeseries,15,240,N1,0.4834352715960755,0.37121206056157796
sub-27,sub-27_task-sleep_run-7_timeseries,16,255,N1,0.48124754726011004,0.3235661772999404
sub-27,sub-27_task-sleep_run-7_timeseries,17,270,N1,0.4895427135678392,0.3463576454117867
sub-27,sub-27_task-sleep_run-7_timeseries,18,285,N1,0.5139447236180904,0.418452455010438
sub-27,sub-27_task-sleep_run-7_timeseries,20,315,Wake,0.4785512084230677,0.3653717618828351
sub-27,sub-27_task-sleep_run-7_timeseries,25,390,Wake,0.48654941373534344,0.3869641977100052
sub-27,sub-27_task-sleep_run-7_timeseries,26,405,Wake,0.5352345058626466,0.3778342990486815
