subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-02,sub-02_task-rest_run-1_timeseries,0,15,Wake,0.5277010050251255,0.4521024682122402
sub-02,sub-02_task-rest_run-1_timeseries,1,30,Wake,0.5105904522613065,0.4052602546574377
sub-02,sub-02_task-rest_run-1_timeseries,2,45,Wake,0.4809907872696817,0.43913602829220144
sub-02,sub-02_task-rest_run-1_timeseries,3,60,Wake,0.4847336683417085,0.4387875349268873
sub-02,sub-02_task-rest_run-1_timeseries,4,75,Wake,0.4804204355108877,0.2970041406418821
sub-02,sub-02_task-rest_run-1_timeseries,5,90,Wake,0.4808777219430486,0.3376916751636568
sub-02,sub-02_task-rest_run-1_timeseries,8,135,N1,0.4446022972002871,0.31015224436415123
sub-02,sub-02_task-rest_run-1_timeseries,9,150,N1,0.4550256241525086,0.312450788930747
sub-02,sub-02_task-rest_run-1_timeseries,10,165,N1,0.5168752093802345,0.3939258465000408
sub-02,sub-02_task-rest_run-1_timeseries,11,180,N1,0.5250929648241206,0.4038204790127225
sub-02,sub-02_task-rest_run-1_timeseries,12,195,N1,0.5115360134003349,0.39344949338711965
sub-02,sub-02_task-rest_run-1_timeseries,14,225,N2,0.531675041876047,0.41970350590056893
sub-02,sub-02_task-rest_run-1_timeseries,15,240,N2,0.5277177554438861,0.40953376972864736
sub-02,sub-02_task-rest_run-1_timeseries,16,255,N2,0.5251926298157453,0.4260836262062324
sub-02,sub-02_task-rest_run-1_timeseries,17,270,N2,0.5171608040201005,0.407170847697395
