subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-33,sub-33_task-sleep_run-5_timeseries,0,15,Wake,0.4498165230916487,0.28880261273412516
sub-33,sub-33_task-sleep_run-5_timeseries,1,30,Wake,0.5289815745393635,0.38513935629936297
sub-33,sub-33_task-sleep_run-5_timeseries,2,45,Wake,0.4923249581239531,0.38598598818864716
sub-33,sub-33_task-sleep_run-5_timeseries,3,60,Wake,0.49108710217755436,0.2929579753717351
sub-33,sub-33_task-sleep_run-5_timeseries,8,135,Wake,0.5158417085427135,0.39619396173141846
sub-33,sub-33_task-sleep_run-5_timeseries,9,150,Wake,0.5072713567839197,0.34400167796654424
sub-33,sub-33_task-sleep_run-5_timeseries,11,180,N1,0.4762596314907872,0.39922409279973914
sub-33,sub-33_task-sleep_run-5_timeseries,12,195,N1,0.48595848289064364,0.40063340395710084
sub-33,sub-33_task-sleep_run-5_timeseries,13,210,N1,0.48703936348408705,0.35439686935320913
sub-33,sub-33_task-sleep_run-5_timeseries,14,225,N1,0.48264321608040195,0.3368174677931793
sub-33,sub-33_task-sleep_run-5_timeseries,15,240,N1,0.4375677793730558,0.22843936000453818
sub-33,sub-33_task-sleep_run-5_timeseries,17,270,Wake,0.46224623115577895,0.2893839429708202
sub-33,sub-33_task-sleep_run-5_timeseries,18,285,Wake,0.433812096195262,0.22030445226077805
sub-33,sub-33_task-sleep_run-5_timeseries,19,300,Wake,0.43686940655659245,0.31665348244529257
sub-33,sub-33_task-sleep_run-5_timeseries,20,315,Wake,0.4350249860413177,0.2979993167772874
sub-33,sub-33_task-sleep_run-5_timeseries,21,330,Wake,0.4271519901092765,0.2699019220760361
sub-33,sub-33_task-sleep_run-5_timeseries,22,345,Wake,0.4645357142857143,0.30172375701301335
sub-33,sub-33_task-sleep_run-5_timeseries,23,360,Wake,0.532177554438861,0.36737675080749543
sub-33,sub-33_task-sleep_run-5_timeseries,24,375,Wake,0.4779221105527638,0.43483237629789695
sub-33,sub-33_task-sleep_run-5_timeseries,25,390,Wake,0.40243545106484807,0.2871738588073417
sub-33,sub-33_task-sleep_run-5_timeseries,26,405,Wake,0.41463986599664987,0.3171245655828406
