subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-22,sub-22_task-sleep_run-3_timeseries,0,15,N1,0.4512345058626465,0.2700270966582303
sub-22,sub-22_task-sleep_run-3_timeseries,1,30,N1,0.5235217755443885,0.34764798040302447
sub-22,sub-22_task-sleep_run-3_timeseries,2,45,N1,0.5155711892797319,0.35789705222250284
sub-22,sub-22_task-sleep_run-3_timeseries,3,60,N1,0.5109430485762144,0.33663044119231744
sub-22,sub-22_task-sleep_run-3_timeseries,4,75,N1,0.5398701842546063,0.3469732206018436
sub-22,sub-22_task-sleep_run-3_timeseries,5,90,N1,0.5393048576214405,0.3682540087217764
sub-22,sub-22_task-sleep_run-3_timeseries,6,105,N1,0.5302780569514237,0.36868626126881965
sub-22,sub-22_task-sleep_run-3_timeseries,7,120,N1,0.48396542234984435,0.32456384372666025
sub-22,sub-22_task-sleep_run-3_timeseries,8,135,N1,0.4950898540320651,0.37654342776251465
sub-22,sub-22_task-sleep_run-3_timeseries,9,150,N1,0.5063266331658292,0.3580856386305647
sub-22,sub-22_task-sleep_run-3_timeseries,10,165,N1,0.5232118927973199,0.3772010272847052
sub-22,sub-22_task-sleep_run-3_timeseries,11,180,N1,0.5384003350083751,0.37760910127325686
sub-22,sub-22_task-sleep_run-3_timeseries,12,195,N1,0.5410845896147404,0.40004744550924975
sub-22,sub-22_task-sleep_run-3_timeseries,13,210,N1,0.5157085427135678,0.3402545202732795
sub-22,sub-22_task-sleep_run-3_timeseries,14,225,N1,0.5050745393634841,0.40694163914607534
sub-22,sub-22_task-sleep_run-3_timeseries,15,240,N1,0.4973509212730318,0.3973568064112769
sub-22,sub-22_task-sleep_run-3_timeseries,16,255,N1,0.5256340033500838,0.36529169523089294
sub-22,sub-22_task-sleep_run-3_timeseries,17,270,N1,0.5250795644891122,0.36861467358460737
sub-22,sub-22_task-sleep_run-3_timeseries,18,285,N1,0.5325150753768844,0.429292317722083
sub-22,sub-22_task-sleep_run-3_timeseries,19,300,N1,0.5390745393634842,0.4017935150041368
sub-22,sub-22_task-sleep_run-3_timeseries,20,315,N1,0.5293509212730318,0.40066807870840015
sub-22,sub-22_task-sleep_run-3_timeseries,21,330,N1,0.5259673366834171,0.36272516697461377
sub-22,sub-22_task-sleep_run-3_timeseries,22,345,N1,0.5289179229480737,0.36701930841210234
sub-22,sub-22_task-sleep_run-3_timeseries,23,360,N1,0.5199154103852596,0.3726188850143629
sub-22,sub-22_task-sleep_run-3_timeseries,24,375,N1,0.5210510887772193,0.3518648623131524
sub-22,sub-22_task-sleep_run-3_timeseries,25,390,N1,0.51693216080402,0.31663554975521924
sub-22,sub-22_task-sleep_run-3_timeseries,26,405,N1,0.5267395309882746,0.3978270085010763
