subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-23,sub-23_task-rest_run-1_timeseries,0,15,Wake,0.5182830820770519,0.33524389986229297
sub-23,sub-23_task-rest_run-1_timeseries,1,30,Wake,0.4823676716917923,0.2847229413087872
sub-23,sub-23_task-rest_run-1_timeseries,2,45,Wake,0.5193802345058626,0.39122981883298397
sub-23,sub-23_task-rest_run-1_timeseries,3,60,Wake,0.5101926298157454,0.38200938681000934
sub-23,sub-23_task-rest_run-1_timeseries,4,75,Wake,0.4673659966499162,0.3767982995504116
sub-23,sub-23_task-rest_run-1_timeseries,5,90,Wake,0.4804447236180904,0.385380235748864
sub-23,sub-23_task-rest_run-1_timeseries,6,105,Wake,0.48845058626465665,0.3868975133427024
sub-23,sub-23_task-rest_run-1_timeseries,7,120,Wake,0.5096373534338359,0.425188030817293
sub-23,sub-23_task-rest_run-1_timeseries,8,135,Wake,0.5282077051926298,0.4515392034510984
sub-23,sub-23_task-rest_run-1_timeseries,9,150,Wake,0.5094288107202679,0.44146092228826506
sub-23,sub-23_task-rest_run-1_timeseries,10,165,Wake,0.5203743718592965,0.4534248041952133
sub-23,sub-23_task-rest_run-1_timeseries,11,180,Wake,0.5061482412060301,0.36794369671138333
sub-23,sub-23_task-rest_run-1_timeseries,12,195,Wake,0.5218400335008374,0.4211994897866204
sub-23,sub-23_task-rest_run-1_timeseries,13,210,Wake,0.5183911222780568,0.3973079598335561
sub-23,sub-23_task-rest_run-1_timeseries,14,225,Wake,0.48534087102177553,0.33379439906255504
sub-23,sub-23_task-rest_run-1_timeseries,15,240,Wake,0.45464644651830577,0.3598674976812631
sub-23,sub-23_task-rest_run-1_timeseries,16,255,Wake,0.4323808327351041,0.3344277756580541
sub-23,sub-23_task-rest_run-1_timeseries,17,270,Wake,0.4617475472601101,0.37165925018836665
