subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-25,sub-25_task-rest_run-2_timeseries,4,75,N2,0.533149078726968,0.378250198951605
sub-25,sub-25_task-rest_run-2_timeseries,5,90,N2,0.5246314907872697,0.3851399451922617
sub-25,sub-25_task-rest_run-2_timeseries,6,105,N2,0.5112118927973199,0.35627696167917033
sub-25,sub-25_task-rest_run-2_timeseries,7,120,N2,0.5189338358458963,0.403808094046392
sub-25,sub-25_task-rest_run-2_timeseries,8,135,N2,0.46980737018425456,0.3412929404279526
sub-25,sub-25_task-rest_run-2_timeseries,9,150,N2,0.47753852596314905,0.39454331473490534
sub-25,sub-25_task-rest_run-2_timeseries,10,165,N2,0.5213886097152428,0.44445787962209954
sub-25,sub-25_task-rest_run-2_timeseries,11,180,N2,0.5069405360134004,0.3269415564414262
sub-25,sub-25_task-rest_run-2_timeseries,12,195,N2,0.48375705910504907,0.26503290146319486
sub-25,sub-25_task-rest_run-2_timeseries,13,210,N2,0.524359296482412,0.3412726036906073
sub-25,sub-25_task-rest_run-2_timeseries,14,225,N2,0.5157077051926298,0.3969560554498507
sub-25,sub-25_task-rest_run-2_timeseries,15,240,N2,0.49895812395309874,0.3323281169439206
sub-25,sub-25_task-rest_run-2_timeseries,16,255,N2,0.5118291457286432,0.3166422274147404
sub-25,sub-25_task-rest_run-2_timeseries,17,270,N2,0.5115996649916247,0.38022893597201207
