subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-18,sub-18_task-sleep_run-5_timeseries,3,60,N1,0.45161974555316253,0.28653308947608463
sub-18,sub-18_task-sleep_run-5_timeseries,4,75,N1,0.4838372218234027,0.3193357392083439
sub-18,sub-18_task-sleep_run-5_timeseries,5,90,N1,0.5135058626465662,0.3695886729292951
sub-18,sub-18_task-sleep_run-5_timeseries,8,135,Wake,0.5025862646566164,0.3852677376225211
sub-18,sub-18_task-sleep_run-5_timeseries,13,210,N1,0.42957996330860654,0.20117006762233397
sub-18,sub-18_task-sleep_run-5_timeseries,16,255,N1,0.4664815745393635,0.32622453066603
sub-18,sub-18_task-sleep_run-5_timeseries,17,270,N1,0.47932220626944244,0.3963077281171957
sub-18,sub-18_task-sleep_run-5_timeseries,20,315,N1,0.43675508494855236,0.30804227193938355
sub-18,sub-18_task-sleep_run-5_timeseries,21,330,N1,0.3925524647044748,0.21208391881902083
sub-18,sub-18_task-sleep_run-5_timeseries,25,390,N1,0.44312756241525075,0.38910005697737393
