subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-22,sub-22_task-sleep_run-6_timeseries,0,15,Wake,0.5255502512562813,0.3094263727072213
sub-22,sub-22_task-sleep_run-6_timeseries,1,30,Wake,0.553320770519263,0.3446504249755118
sub-22,sub-22_task-sleep_run-6_timeseries,2,45,Wake,0.5410427135678391,0.3081080299974272
sub-22,sub-22_task-sleep_run-6_timeseries,3,60,Wake,0.5390284757118927,0.33112589788333674
sub-22,sub-22_task-sleep_run-6_timeseries,4,75,Wake,0.5182780569514237,0.3380315714163614
sub-22,sub-22_task-sleep_run-6_timeseries,5,90,Wake,0.49507286432160796,0.3878417872182956
sub-22,sub-22_task-sleep_run-6_timeseries,6,105,Wake,0.5088944723618091,0.3276477044414399
sub-22,sub-22_task-sleep_run-6_timeseries,7,120,Wake,0.5079237855946398,0.3319716880434614
sub-22,sub-22_task-sleep_run-6_timeseries,8,135,Wake,0.47228140703517585,0.3258941548521442
sub-22,sub-22_task-sleep_run-6_timeseries,9,150,Wake,0.4935536013400335,0.282679715707088
sub-22,sub-22_task-sleep_run-6_timeseries,10,165,Wake,0.5226524288107203,0.3531936177391397
sub-22,sub-22_task-sleep_run-6_timeseries,11,180,Wake,0.5198685092127303,0.3826759987657043
sub-22,sub-22_task-sleep_run-6_timeseries,12,195,Wake,0.5343969849246231,0.3706937283820464
sub-22,sub-22_task-sleep_run-6_timeseries,13,210,Wake,0.5384212730318259,0.36924666378531673
sub-22,sub-22_task-sleep_run-6_timeseries,14,225,Wake,0.5434757118927973,0.38706772378928866
sub-22,sub-22_task-sleep_run-6_timeseries,15,240,Wake,0.5389572864321607,0.408651925631052
sub-22,sub-22_task-sleep_run-6_timeseries,16,255,Wake,0.51364824120603,0.4046142255971056
sub-22,sub-22_task-sleep_run-6_timeseries,19,300,Wake,0.529074539363484,0.36091415271938476
sub-22,sub-22_task-sleep_run-6_timeseries,20,315,Wake,0.5344597989949748,0.3781864398181369
sub-22,sub-22_task-sleep_run-6_timeseries,23,360,Wake,0.5363291457286432,0.382683338590783
sub-22,sub-22_task-sleep_run-6_timeseries,24,375,Wake,0.507890284757119,0.3828912719835811
sub-22,sub-22_task-sleep_run-6_timeseries,25,390,Wake,0.5046541038525962,0.35496767678856483
sub-22,sub-22_task-sleep_run-6_timeseries,26,405,Wake,0.5116901172529313,0.40501111700008136
