subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-16,sub-16_task-sleep_run-7_timeseries,0,15,N2,0.38955040171999966,0.286817374027217
sub-16,sub-16_task-sleep_run-7_timeseries,1,30,N2,0.5109463986599664,0.3811643065625083
sub-16,sub-16_task-sleep_run-7_timeseries,2,45,N2,0.5117931323283081,0.3975199126831639
sub-16,sub-16_task-sleep_run-7_timeseries,3,60,N2,0.5314698492462312,0.4157513224698168
sub-16,sub-16_task-sleep_run-7_timeseries,4,75,N2,0.5311348408710217,0.4292172708546104
sub-16,sub-16_task-sleep_run-7_timeseries,5,90,N2,0.5248735343383585,0.38466853066747725
sub-16,sub-16_task-sleep_run-7_timeseries,6,105,N2,0.5349916247906197,0.41409462661061414
sub-16,sub-16_task-sleep_run-7_timeseries,7,120,N2,0.539036850921273,0.38775674103491514
sub-16,sub-16_task-sleep_run-7_timeseries,8,135,N2,0.5204087102177554,0.34153547366533454
sub-16,sub-16_task-sleep_run-7_timeseries,9,150,N2,0.5169112227805694,0.3481302948248681
sub-16,sub-16_task-sleep_run-7_timeseries,10,165,N2,0.5438190954773869,0.4227098302173165
sub-16,sub-16_task-sleep_run-7_timeseries,11,180,N2,0.5307412060301506,0.41757019503344395
sub-16,sub-16_task-sleep_run-7_timeseries,12,195,N2,0.5036716917922948,0.4450520545691922
sub-16,sub-16_task-sleep_run-7_timeseries,13,210,N2,0.49690201005025125,0.38811582651975046
sub-16,sub-16_task-sleep_run-7_timeseries,14,225,N2,0.49547319932998324,0.422932462960847
sub-16,sub-16_task-sleep_run-7_timeseries,15,240,N2,0.4299545345776502,0.3209866932929165
sub-16,sub-16_task-sleep_run-7_timeseries,16,255,N2,0.4582846374730796,0.30713178570355815
sub-16,sub-16_task-sleep_run-7_timeseries,17,270,N2,0.46702333094041637,0.40556221725501745
sub-16,sub-16_task-sleep_run-7_timeseries,18,285,N2,0.4244469370662838,0.37723147031213883
sub-16,sub-16_task-sleep_run-7_timeseries,19,300,N2,0.4207694623913216,0.2944098109471042
sub-16,sub-16_task-sleep_run-7_timeseries,20,315,N2,0.47447822445561133,0.4326210111836272
sub-16,sub-16_task-sleep_run-7_timeseries,21,330,N2,0.47714405360134,0.4442233437215621
sub-16,sub-16_task-sleep_run-7_timeseries,22,345,N2,0.48229061976549414,0.34551966249133964
sub-16,sub-16_task-sleep_run-7_timeseries,23,360,N2,0.4340300311079205,0.24589520603510356
sub-16,sub-16_task-sleep_run-7_timeseries,24,375,N2,0.3367146446518306,0.22693643080559434
sub-16,sub-16_task-sleep_run-7_timeseries,25,390,N2,0.36395144372656935,0.2221299881316142
sub-16,sub-16_task-sleep_run-7_timeseries,26,405,N2,0.47416223977027994,0.3505709578049337
