subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-11,sub-11_task-sleep_run-4_timeseries,0,15,N1,0.4037071867272872,0.3025209190935626
sub-11,sub-11_task-sleep_run-4_timeseries,2,45,Wake,0.499219430485762,0.33028255446585003
sub-11,sub-11_task-sleep_run-4_timeseries,4,75,N1,0.5355083752093801,0.45024890685841396
sub-11,sub-11_task-sleep_run-4_timeseries,7,120,N1,0.5113015075376883,0.42044332436575205
sub-11,sub-11_task-sleep_run-4_timeseries,8,135,N1,0.48611821009810957,0.39449744209466026
sub-11,sub-11_task-sleep_run-4_timeseries,9,150,N1,0.44261797080641296,0.3278319800203195
sub-11,sub-11_task-sleep_run-4_timeseries,10,165,N1,0.4763661162957646,0.36331020131560904
sub-11,sub-11_task-sleep_run-4_timeseries,11,180,N1,0.48254522613065315,0.3741792502447399
sub-11,sub-11_task-sleep_run-4_timeseries,12,195,N1,0.48275101698971035,0.3926700293264811
sub-11,sub-11_task-sleep_run-4_timeseries,15,240,N1,0.5092194304857621,0.40517827213642693
sub-11,sub-11_task-sleep_run-4_timeseries,16,255,N1,0.5178383584589615,0.3948780255223093
sub-11,sub-11_task-sleep_run-4_timeseries,17,270,N1,0.51964824120603,0.42648866272608543
sub-11,sub-11_task-sleep_run-4_timeseries,18,285,N1,0.5138291457286432,0.4360038893131614
sub-11,sub-11_task-sleep_run-4_timeseries,19,300,N1,0.5218190954773869,0.41797636702675994
sub-11,sub-11_task-sleep_run-4_timeseries,20,315,N1,0.5274748743718592,0.3466609297278321
sub-11,sub-11_task-sleep_run-4_timeseries,23,360,N1,0.5139472361809044,0.35667468646142925
sub-11,sub-11_task-sleep_run-4_timeseries,24,375,N1,0.5052219430485761,0.2781272898718478
sub-11,sub-11_task-sleep_run-4_timeseries,25,390,N1,0.516071189279732,0.4308959523160548
sub-11,sub-11_task-sleep_run-4_timeseries,26,405,N1,0.5120393634840871,0.4289249210897406
