subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-32,sub-32_task-sleep_run-1_timeseries,0,15,Wake,0.4310664034458004,0.2343166582609403
sub-32,sub-32_task-sleep_run-1_timeseries,1,30,Wake,0.5032077051926298,0.3817264229906148
sub-32,sub-32_task-sleep_run-1_timeseries,2,45,Wake,0.5140117252931322,0.41271727869593705
sub-32,sub-32_task-sleep_run-1_timeseries,3,60,Wake,0.46380617372577165,0.4195262092136123
sub-32,sub-32_task-sleep_run-1_timeseries,4,75,Wake,0.46940500119645845,0.42504676284489096
sub-32,sub-32_task-sleep_run-1_timeseries,5,90,Wake,0.4921817420435511,0.37581589085812944
sub-32,sub-32_task-sleep_run-1_timeseries,6,105,Wake,0.49118868150275186,0.3829832650785739
sub-32,sub-32_task-sleep_run-1_timeseries,7,120,Wake,0.50393216080402,0.4228664301409727
sub-32,sub-32_task-sleep_run-1_timeseries,8,135,Wake,0.5263525963149078,0.39591518614378707
sub-32,sub-32_task-sleep_run-1_timeseries,9,150,Wake,0.5243174204355109,0.4138645138803672
sub-32,sub-32_task-sleep_run-1_timeseries,10,165,Wake,0.5032922948073701,0.35263610979605425
sub-32,sub-32_task-sleep_run-1_timeseries,12,195,N1,0.49437102177554443,0.3768749249500325
sub-32,sub-32_task-sleep_run-1_timeseries,13,210,N1,0.4878726968174204,0.3525830667871183
sub-32,sub-32_task-sleep_run-1_timeseries,14,225,N1,0.5194974874371859,0.4168477107514455
sub-32,sub-32_task-sleep_run-1_timeseries,15,240,N1,0.5265829145728642,0.3596049801903409
sub-32,sub-32_task-sleep_run-1_timeseries,16,255,N1,0.5299597989949748,0.41700938530533327
sub-32,sub-32_task-sleep_run-1_timeseries,17,270,N1,0.5404815745393634,0.37501187065960023
sub-32,sub-32_task-sleep_run-1_timeseries,18,285,N1,0.5208835845896147,0.38583384185925684
sub-32,sub-32_task-sleep_run-1_timeseries,19,300,N1,0.4943492462311557,0.3304091791615419
sub-32,sub-32_task-sleep_run-1_timeseries,22,345,N1,0.5018643216080402,0.42005605702151205
sub-32,sub-32_task-sleep_run-1_timeseries,26,405,Wake,0.49864489112227806,0.33728126368292527
