subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-12,sub-12_task-sleep_run-3_timeseries,0,15,N1,0.4758056951423785,0.32927502246435963
sub-12,sub-12_task-sleep_run-3_timeseries,1,30,N1,0.4852964824120602,0.29897864456988216
sub-12,sub-12_task-sleep_run-3_timeseries,2,45,N1,0.48570686767169174,0.3485684379800789
sub-12,sub-12_task-sleep_run-3_timeseries,3,60,N1,0.4949824120603014,0.33894975481594847
sub-12,sub-12_task-sleep_run-3_timeseries,4,75,N1,0.5196147403685092,0.35546721412109744
sub-12,sub-12_task-sleep_run-3_timeseries,5,90,N1,0.5268718592964823,0.31445547783564287
sub-12,sub-12_task-sleep_run-3_timeseries,6,105,N1,0.525108877721943,0.3860375371480592
sub-12,sub-12_task-sleep_run-3_timeseries,11,180,N1,0.5375628140703518,0.423905671933134
sub-12,sub-12_task-sleep_run-3_timeseries,12,195,N1,0.5274011725293131,0.45816639978725515
sub-12,sub-12_task-sleep_run-3_timeseries,13,210,N1,0.5331649916247906,0.4037277447669941
sub-12,sub-12_task-sleep_run-3_timeseries,14,225,N1,0.543643216080402,0.3746137548343891
sub-12,sub-12_task-sleep_run-3_timeseries,17,270,N1,0.5028592964824119,0.2953301512583645
sub-12,sub-12_task-sleep_run-3_timeseries,18,285,N1,0.5068458961474037,0.3224906185944859
sub-12,sub-12_task-sleep_run-3_timeseries,19,300,N1,0.5044380234505862,0.33063713417512286
sub-12,sub-12_task-sleep_run-3_timeseries,20,315,N1,0.49539447236180906,0.3335942825519934
sub-12,sub-12_task-sleep_run-3_timeseries,22,345,N2,0.5385092127303182,0.38168193518203347
sub-12,sub-12_task-sleep_run-3_timeseries,23,360,N2,0.531930485762144,0.3965228270506143
sub-12,sub-12_task-sleep_run-3_timeseries,24,375,N2,0.5204547738693467,0.3729806262462057
sub-12,sub-12_task-sleep_run-3_timeseries,25,390,N2,0.5139053601340033,0.36930995104394493
sub-12,sub-12_task-sleep_run-3_timeseries,26,405,N2,0.4316241923905241,0.26491688504007255
