subject,file,window_idx,window_center_tr,stage,global_efficiency,modularity
sub-17,sub-17_task-sleep_run-2_timeseries,0,15,Wake,0.42844083512802106,0.2256165309562201
sub-17,sub-17_task-sleep_run-2_timeseries,1,30,Wake,0.4485754965302704,0.3073460865767946
sub-17,sub-17_task-sleep_run-2_timeseries,2,45,Wake,0.4301975352955252,0.32364283638227154
sub-17,sub-17_task-sleep_run-2_timeseries,3,60,Wake,0.48816295764536966,0.41952053768720415
sub-17,sub-17_task-sleep_run-2_timeseries,4,75,Wake,0.5119949748743718,0.399660383891856
sub-17,sub-17_task-sleep_run-2_timeseries,5,90,Wake,0.5104832495812396,0.3560862371290147
sub-17,sub-17_task-sleep_run-2_timeseries,6,105,Wake,0.46987520938023447,0.33035048772853093
sub-17,sub-17_task-sleep_run-2_timeseries,7,120,Wake,0.4430805216558985,0.3222615946843267
sub-17,sub-17_task-sleep_run-2_timeseries,8,135,Wake,0.4864825317061498,0.3286556513809001
sub-17,sub-17_task-sleep_run-2_timeseries,11,180,Wake,0.4792195501316104,0.34034802340764386
sub-17,sub-17_task-sleep_run-2_timeseries,12,195,Wake,0.44246949030868626,0.4217205484419506
sub-17,sub-17_task-sleep_run-2_timeseries,13,210,Wake,0.42377315147164396,0.3144683154106902
sub-17,sub-17_task-sleep_run-2_timeseries,14,225,Wake,0.45993216080402,0.32070817186785144
sub-17,sub-17_task-sleep_run-2_timeseries,15,240,Wake,0.5115787269681742,0.35406871037432813
sub-17,sub-17_task-sleep_run-2_timeseries,16,255,Wake,0.5128040201005025,0.38184351698032515
sub-17,sub-17_task-sleep_run-2_timeseries,17,270,Wake,0.4438320770519263,0.27956712206934253
sub-17,sub-17_task-sleep_run-2_timeseries,18,285,Wake,0.43447116535056224,0.29802866317826027
sub-17,sub-17_task-sleep_run-2_timeseries,19,300,Wake,0.4798079085905719,0.3511769253700875
sub-17,sub-17_task-sleep_run-2_timeseries,20,315,Wake,0.5012922948073701,0.3811665117687799
sub-17,sub-17_task-sleep_run-2_timeseries,21,330,Wake,0.48286204833692264,0.4070801000787548
sub-17,sub-17_task-sleep_run-2_timeseries,22,345,Wake,0.46048779612347446,0.3903316733086679
sub-17,sub-17_task-sleep_run-2_timeseries,23,360,Wake,0.5210988274706868,0.43102817579641706
sub-17,sub-17_task-sleep_run-2_timeseries,24,375,Wake,0.5186892797319933,0.4163980316695495
sub-17,sub-17_task-sleep_run-2_timeseries,25,390,Wake,0.4781570949988035,0.36659021000023606
sub-17,sub-17_task-sleep_run-2_timeseries,26,405,Wake,0.4410565924862407,0.34368853383444825
